evaluation_id,match_id,matchup_type,team_a,team_b,team_a_player,team_b_player,predicted_favored_team,observed_favored_team,edge_score,observed_edge,edge_confirmed,evidence_metric,team_a_evidence,team_b_evidence,status,explanation,data_quality,evaluated_at
eval_bc9acc1c5c388eff56b8,1,striker_vs_centerbacks,Mexico,South Africa,Raúl Jiménez,"Mbekezeli Mbokazi, Nkosinathi Sibisi",Mexico,,0.071,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Mexico; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.154393Z
eval_be3ad5c121c36828ed90,2,striker_vs_centerbacks,Korea Republic,Czechia,Son Heung-min,"David Zima, Ladislav Krejčí",Czechia,,0.212,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Czechia; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.384283Z
eval_c58274a7ea716bbed144,3,striker_vs_centerbacks,Canada,Bosnia and Herzegovina,Derek Cornelius,Ermedin Demirović,Canada,,0.052,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Canada; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.603746Z
eval_c5e1f75054f2431fe900,1,press_vs_build_up,Mexico,South Africa,,,Mexico,,0.743,,,missing_match_summary,,,not_evaluable,"Prediction favored Mexico; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.154393Z
eval_c8dc34fd1b51672f274f,4,press_vs_build_up,USA,Paraguay,,,USA,,0.678,,,missing_match_summary,,,not_evaluable,"Prediction favored USA; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.843287Z
eval_ccff9e630a160970a1aa,FRA-BRA-TEST,midfield_control,France,Brazil,"Aurélien Tchouaméni, Adrien Rabiot, N'Golo Kanté","Casemiro, Bruno Guimarães, Lucas Paquetá",,France,0.003,0.23,,field_tilt,0.615,0.385,partial,"Prediction favored neither team; observed field_tilt favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_dabd97bde201e09db4b8,1,midfield_control,Mexico,South Africa,"Edson Álvarez, Orbelín Pineda, Luis Chávez","Teboho Mokoena, Thalente Mbatha, Themba Zwane",Mexico,,0.054,,,missing_match_summary,,,not_evaluable,"Prediction favored Mexico; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.154393Z
eval_e1df14fdd55b185a2704,FRA-BRA-TEST,winger_vs_fullback,France,Brazil,Jules Koundé,Vinícius Júnior,Brazil,Brazil,0.117,-0.8,True,named_player_event_impact,0.0,0.8,evaluated,"Prediction favored Brazil; observed named_player_event_impact favored Brazil. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_e774b5469cb22c4d7666,FRA-BRA-TEST,winger_vs_fullback,France,Brazil,Ousmane Dembélé,Alex Sandro,France,France,0.194,0.25,True,named_player_event_impact,0.25,0.0,evaluated,"Prediction favored France; observed named_player_event_impact favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_e97eac699ad934c46e2a,2,press_vs_build_up,Korea Republic,Czechia,,,Czechia,,0.44,,,missing_match_summary,,,not_evaluable,"Prediction favored Czechia; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.384283Z
eval_f3d0556ed52150bd257d,3,midfield_control,Canada,Bosnia and Herzegovina,"Stephen Eustáquio, Ismaël Koné, Jonathan Osorio","Benjamin Tahirović, Amir Hadžiahmetović",Canada,,0.046,,,missing_match_summary,,,not_evaluable,"Prediction favored Canada; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.603746Z
